# Airbrakes Lookup Table - Hyperion with Cesaroni M2505,,,
# Generated: 2025-08-07 11:39:21,,,
# Target Apogee: 3048m (10000ft),,,
# Grid: 50×50,,,
# Physics-based simulation with proper drag modeling,,,
#,,,
burnout_height_m,burnout_velocity_ms,deployment_angle_deg,retraction_time_s
240,140,0,12.3
240,144.1,0,12.7
240,148.2,0,13.1
240,152.2,0,13.5
240,156.3,0,13.9
240,160.4,0,14.4
240,164.5,0,14.8
240,168.6,0,15.2
240,172.7,0,15.6
240,176.7,0,16
240,180.8,0,16.4
240,184.9,0,16.8
240,189,0,17.3
240,193.1,0,17.7
240,197.1,0,18.1
240,201.2,0,18.5
240,205.3,0,18.9
240,209.4,0,19.3
240,213.5,0,19.8
240,217.6,0,20.2
240,221.6,0,20.6
240,225.7,0,21
240,229.8,0,21.4
240,233.9,0,21.8
240,238,0,22.3
240,242,0,22.7
240,246.1,0,23.1
240,250.2,0,23.5
240,254.3,0,23.9
240,258.4,0,24.3
240,262.4,0,24.8
240,266.5,0,25.2
240,270.6,0,25.6
240,274.7,0,26
240,278.8,0,26.4
240,282.9,0,26.8
240,286.9,0,27.2
240,291,0,27.7
240,295.1,2.1,26.5
240,299.2,4.2,25.5
240,303.3,5.6,24.9
240,307.3,7.7,24
240,311.4,9.8,23.1
240,315.5,11.2,22.6
240,319.6,13.4,21.8
240,323.7,14.8,21.4
240,327.8,16.9,20.6
240,331.8,18.3,20.2
240,335.9,20.4,19.5
240,340,21.8,19.2
246.5,140,0,12.3
246.5,144.1,0,12.7
246.5,148.2,0,13.1
246.5,152.2,0,13.5
246.5,156.3,0,13.9
246.5,160.4,0,14.4
246.5,164.5,0,14.8
246.5,168.6,0,15.2
246.5,172.7,0,15.6
246.5,176.7,0,16
246.5,180.8,0,16.4
246.5,184.9,0,16.8
246.5,189,0,17.3
246.5,193.1,0,17.7
246.5,197.1,0,18.1
246.5,201.2,0,18.5
246.5,205.3,0,18.9
246.5,209.4,0,19.3
246.5,213.5,0,19.8
246.5,217.6,0,20.2
246.5,221.6,0,20.6
246.5,225.7,0,21
246.5,229.8,0,21.4
246.5,233.9,0,21.8
246.5,238,0,22.3
246.5,242,0,22.7
246.5,246.1,0,23.1
246.5,250.2,0,23.5
246.5,254.3,0,23.9
246.5,258.4,0,24.3
246.5,262.4,0,24.8
246.5,266.5,0,25.2
246.5,270.6,0,25.6
246.5,274.7,0,26
246.5,278.8,0,26.4
246.5,282.9,0,26.8
246.5,286.9,0,27.2
246.5,291,0.4,27.4
246.5,295.1,2.1,26.5
246.5,299.2,4.2,25.5
246.5,303.3,6.3,24.5
246.5,307.3,8.1,23.7
246.5,311.4,9.8,23.1
246.5,315.5,12,22.2
246.5,319.6,13.4,21.8
246.5,323.7,15.5,21
246.5,327.8,16.9,20.6
246.5,331.8,19,19.9
246.5,335.9,20.4,19.5
246.5,340,22.5,18.9
253.1,140,0,12.3
253.1,144.1,0,12.7
253.1,148.2,0,13.1
253.1,152.2,0,13.5
253.1,156.3,0,13.9
253.1,160.4,0,14.4
253.1,164.5,0,14.8
253.1,168.6,0,15.2
253.1,172.7,0,15.6
253.1,176.7,0,16
253.1,180.8,0,16.4
253.1,184.9,0,16.8
253.1,189,0,17.3
253.1,193.1,0,17.7
253.1,197.1,0,18.1
253.1,201.2,0,18.5
253.1,205.3,0,18.9
253.1,209.4,0,19.3
253.1,213.5,0,19.8
253.1,217.6,0,20.2
253.1,221.6,0,20.6
253.1,225.7,0,21
253.1,229.8,0,21.4
253.1,233.9,0,21.8
253.1,238,0,22.3
253.1,242,0,22.7
253.1,246.1,0,23.1
253.1,250.2,0,23.5
253.1,254.3,0,23.9
253.1,258.4,0,24.3
253.1,262.4,0,24.8
253.1,266.5,0,25.2
253.1,270.6,0,25.6
253.1,274.7,0,26
253.1,278.8,0,26.4
253.1,282.9,0,26.8
253.1,286.9,0,27.2
253.1,291,0.7,27.1
253.1,295.1,2.8,26
253.1,299.2,4.6,25.2
253.1,303.3,6.3,24.5
253.1,307.3,8.4,23.5
253.1,311.4,10.5,22.7
253.1,315.5,12,22.2
253.1,319.6,14.1,21.4
253.1,323.7,15.5,21
253.1,327.8,17.6,20.3
253.1,331.8,19,19.9
253.1,335.9,21.1,19.2
253.1,340,22.5,18.9
259.6,140,0,12.3
259.6,144.1,0,12.7
259.6,148.2,0,13.1
259.6,152.2,0,13.5
259.6,156.3,0,13.9
259.6,160.4,0,14.4
259.6,164.5,0,14.8
259.6,168.6,0,15.2
259.6,172.7,0,15.6
259.6,176.7,0,16
259.6,180.8,0,16.4
259.6,184.9,0,16.8
259.6,189,0,17.3
259.6,193.1,0,17.7
259.6,197.1,0,18.1
259.6,201.2,0,18.5
259.6,205.3,0,18.9
259.6,209.4,0,19.3
259.6,213.5,0,19.8
259.6,217.6,0,20.2
259.6,221.6,0,20.6
259.6,225.7,0,21
259.6,229.8,0,21.4
259.6,233.9,0,21.8
259.6,238,0,22.3
259.6,242,0,22.7
259.6,246.1,0,23.1
259.6,250.2,0,23.5
259.6,254.3,0,23.9
259.6,258.4,0,24.3
259.6,262.4,0,24.8
259.6,266.5,0,25.2
259.6,270.6,0,25.6
259.6,274.7,0,26
259.6,278.8,0,26.4
259.6,282.9,0,26.8
259.6,286.9,0,27.2
259.6,291,0.7,27.1
259.6,295.1,2.8,26
259.6,299.2,4.9,25
259.6,303.3,7,24
259.6,307.3,8.4,23.5
259.6,311.4,10.5,22.7
259.6,315.5,12.7,21.8
259.6,319.6,14.1,21.4
259.6,323.7,16.2,20.7
259.6,327.8,17.6,20.3
259.6,331.8,19.7,19.6
259.6,335.9,21.1,19.2
259.6,340,23.2,18.5
266.1,140,0,12.3
266.1,144.1,0,12.7
266.1,148.2,0,13.1
266.1,152.2,0,13.5
266.1,156.3,0,13.9
266.1,160.4,0,14.4
266.1,164.5,0,14.8
266.1,168.6,0,15.2
266.1,172.7,0,15.6
266.1,176.7,0,16
266.1,180.8,0,16.4
266.1,184.9,0,16.8
266.1,189,0,17.3
266.1,193.1,0,17.7
