# Airbrakes Lookup Table - Hyperion with Cesaroni M2505
# Generated: 2025-08-09 02:24:14
# Target Apogee: 3048m
# Method: RocketPy
# Grid: 10x10
#
burnout_height_m,burnout_velocity_ms,deployment_angle_deg,retraction_time_s
240.0,140.0,0,0
240.0,162.22,0,0
240.0,184.44,0,0
240.0,206.67,0,0
240.0,228.89,0,0
240.0,251.11,0,0
240.0,273.33,0,0
240.0,295.56,2.9883,20.25
240.0,317.78,24.082,17.5
240.0,340.0,45,14.75
275.56,140.0,0,0
275.56,162.22,0,0
275.56,184.44,0,0
275.56,206.67,0,0
275.56,228.89,0,0
275.56,251.11,0,0
275.56,273.33,0,0
275.56,295.56,6.1523,19.75
275.56,317.78,28.3008,16.75
275.56,340.0,45,14.75
311.11,140.0,0,0
311.11,162.22,0,0
311.11,184.44,0,0
311.11,206.67,0,0
311.11,228.89,0,0
311.11,251.11,0,0
311.11,273.33,0,0
311.11,295.56,8.9648,19.25
311.11,317.78,32.8711,16.0
311.11,340.0,45,14.75
346.67,140.0,0,0
346.67,162.22,0,0
346.67,184.44,0,0
346.67,206.67,0,0
346.67,228.89,0,0
346.67,251.11,0,0
346.67,273.33,0,0
346.67,295.56,12.4805,18.75
346.67,317.78,37.793,15.25
346.67,340.0,45,15.0
382.22,140.0,0,0
382.22,162.22,0,0
382.22,184.44,0,0
382.22,206.67,0,0
382.22,228.89,0,0
382.22,251.11,0,0
382.22,273.33,0,0
382.22,295.56,15.9961,18.0
382.22,317.78,45,14.25
382.22,340.0,45,15.0
417.78,140.0,0,0
417.78,162.22,0,0
417.78,184.44,0,0
417.78,206.67,0,0
417.78,228.89,0,0
417.78,251.11,0,0
417.78,273.33,0,0
417.78,295.56,19.8633,17.5
417.78,317.78,45,14.25
417.78,340.0,45,15.0
453.33,140.0,0,0
453.33,162.22,0,0
453.33,184.44,0,0
453.33,206.67,0,0
453.33,228.89,0,0
453.33,251.11,0,0
453.33,273.33,0,0
453.33,295.56,24.082,16.75
453.33,317.78,45,14.25
453.33,340.0,45,15.0
488.89,140.0,0,0
488.89,162.22,0,0
488.89,184.44,0,0
488.89,206.67,0,0
488.89,228.89,0,0
488.89,251.11,0,0
488.89,273.33,1.9336,19.5
488.89,295.56,28.6523,16.0
488.89,317.78,45,14.25
488.89,340.0,45,15.0
524.44,140.0,0,0
524.44,162.22,0,0
524.44,184.44,0,0
524.44,206.67,0,0
524.44,228.89,0,0
524.44,251.11,0,0
524.44,273.33,5.4492,19.0
524.44,295.56,33.9258,15.25
524.44,317.78,45,14.25
524.44,340.0,45,15.0
560.0,140.0,0,0
560.0,162.22,0,0
560.0,184.44,0,0
560.0,206.67,0,0
560.0,228.89,0,0
560.0,251.11,0,0
560.0,273.33,8.9648,18.25
560.0,295.56,39.9023,14.25
560.0,317.78,45,14.5
560.0,340.0,45,15.0
